Case#,Meal,TotalMeals,UniversalMeals,TotalEnrolled,FR,TraditionalSchool,PublicSchool,SchoolType
15395,BREAKFAST,368,0,1,1,0,0,Elementary
19015,LUNCH,956,0,1,1,100,100,Elementary
19016,BREAKFAST,1075,0,1,1,100,100,Mixed
18610,BREAKFAST,1185,0,1,1,100,100,Mixed
18611,LUNCH,1218,0,1,1,100,100,High
18747,BREAKFAST,126,0,2,2,0,100,Mixed
18748,LUNCH,126,0,2,2,0,100,Elementary
25331,LUNCH,247,0,2,1,100,100,Mixed
15113,LUNCH,247,0,2,2,0,100,Elementary
15112,BREAKFAST,299,0,2,2,0,100,High
16454,BREAKFAST,814,0,2,2,0,100,High
16455,LUNCH,1133,0,2,2,0,100,Elementary
16683,BREAKFAST,1547,0,2,2,0,100,Elementary
17447,BREAKFAST,1560,0,2,1,100,100,Mixed
17448,LUNCH,1717,0,2,1,100,100,High
24530,BREAKFAST,2126,0,2,1,100,100,Mixed
24535,LUNCH,2347,0,2,1,100,100,High
16750,LUNCH,345,0,3,3,0,100,Middle
15393,BREAKFAST,368,0,3,3,0,0,Elementary
16749,BREAKFAST,414,0,3,3,0,100,Elementary
16150,LUNCH,551,0,3,3,0,0,Mixed
17396,LUNCH,568,0,3,3,0,0,Mixed
14518,BREAKFAST,586,0,3,3,0,100,Mixed
14519,LUNCH,610,0,3,3,0,100,Mixed
16019,LUNCH,616,0,3,3,0,100,Elementary
16018,BREAKFAST,629,0,3,3,0,100,High
16636,LUNCH,699,0,3,3,0,100,Middle
16151,BREAKFAST,910,0,3,3,0,0,High
17449,BREAKFAST,1005,0,3,2,100,100,Elementary
17450,LUNCH,1409,0,3,2,100,100,Mixed
17583,BREAKFAST,178,0,4,4,0,0,Elementary
16747,LUNCH,345,0,4,4,0,100,High
16748,BREAKFAST,414,0,4,4,0,100,Elementary
3153,LUNCH,782,0,4,4,0,100,Mixed
25764,LUNCH,127,0,5,5,0,100,Mixed
17581,LUNCH,153,0,5,5,0,0,Elementary
17580,BREAKFAST,178,0,5,5,0,0,Mixed
25607,LUNCH,208,0,5,5,0,100,Middle
23012,LUNCH,362,0,5,5,0,100,Elementary
24835,LUNCH,420,0,5,5,100,100,Elementary
24834,BREAKFAST,420,0,5,5,100,100,Mixed
16148,LUNCH,435,0,5,5,0,0,Elementary
21134,LUNCH,520,0,5,5,100,100,Mixed
17394,LUNCH,568,0,5,5,0,0,Elementary
18379,LUNCH,576,0,5,5,0,0,Middle
21135,BREAKFAST,611,0,5,5,100,100,Mixed
17577,LUNCH,700,0,5,5,0,0,Elementary
16149,BREAKFAST,711,0,5,5,0,0,Mixed
17906,BREAKFAST,731,0,5,5,100,100,Elementary
